country,location_name,n_obs,first_date,last_date,span_days,n_gaps
China,Beijing,756,2024-05-16 00:00:00+00:00,2026-06-16 00:00:00+00:00,761,8
Suriname,Paramaribo,756,2024-05-16 00:00:00+00:00,2026-06-16 00:00:00+00:00,761,7
Saint Vincent and the Grenadines,Kingstown,756,2024-05-16 00:00:00+00:00,2026-06-16 00:00:00+00:00,761,7
Seychelles Islands,Victoria,756,2024-05-16 00:00:00+00:00,2026-06-16 00:00:00+00:00,761,7
Timor-Leste,Dili,755,2024-05-16 00:00:00+00:00,2026-06-16 00:00:00+00:00,761,9
Guyana,Georgetown,755,2024-05-16 00:00:00+00:00,2026-06-16 00:00:00+00:00,761,8
Greece,Athens,755,2024-05-16 00:00:00+00:00,2026-06-16 00:00:00+00:00,761,8
Gambia,Banjul,755,2024-05-16 00:00:00+00:00,2026-06-16 00:00:00+00:00,761,8
Mexico,Mexico City,755,2024-05-16 00:00:00+00:00,2026-06-16 00:00:00+00:00,761,9
Cuba,Havana,755,2024-05-16 00:00:00+00:00,2026-06-16 00:00:00+00:00,761,8
Antigua and Barbuda,Saint John's,755,2024-05-16 00:00:00+00:00,2026-06-16 00:00:00+00:00,761,8
Tonga,Nuku`Aloia,755,2024-05-16 00:00:00+00:00,2026-06-16 00:00:00+00:00,761,18
Dominica,Roseau,755,2024-05-16 00:00:00+00:00,2026-06-16 00:00:00+00:00,761,8
Monaco,Monaco,755,2024-05-16 00:00:00+00:00,2026-06-16 00:00:00+00:00,761,8
San Marino,San Marino,755,2024-05-16 00:00:00+00:00,2026-06-16 00:00:00+00:00,761,8
Belize,Belmopan,754,2024-05-16 00:00:00+00:00,2026-06-16 00:00:00+00:00,761,9
Ecuador,Quito,754,2024-05-16 00:00:00+00:00,2026-06-16 00:00:00+00:00,761,9
Honduras,Tegucigalpa,754,2024-05-16 00:00:00+00:00,2026-06-16 00:00:00+00:00,761,9
Peru,Lima,754,2024-05-16 00:00:00+00:00,2026-06-16 00:00:00+00:00,761,9
Macedonia,Skopje,753,2024-05-16 00:00:00+00:00,2026-06-16 00:00:00+00:00,761,10
Grenada,Saint George's,753,2024-05-16 00:00:00+00:00,2026-06-16 00:00:00+00:00,761,10
Bolivia,Sucre,753,2024-05-16 00:00:00+00:00,2026-06-16 00:00:00+00:00,761,10
Bahamas,Nassau,753,2024-05-16 00:00:00+00:00,2026-06-16 00:00:00+00:00,761,10
Nicaragua,Managua,753,2024-05-16 00:00:00+00:00,2026-06-16 00:00:00+00:00,761,10
Bolivia,National,753,2024-05-16 00:00:00+00:00,2026-06-16 00:00:00+00:00,761,10
Samoa,Apia,753,2024-05-16 00:00:00+00:00,2026-06-16 00:00:00+00:00,761,17
Brazil,Bras,753,2024-05-16 00:00:00+00:00,2026-06-16 00:00:00+00:00,761,10
Guatemala,Guatemala City,752,2024-05-16 00:00:00+00:00,2026-06-16 00:00:00+00:00,761,11
El Salvador,San Salvador,752,2024-05-16 00:00:00+00:00,2026-06-16 00:00:00+00:00,761,11
Swaziland,Mbabane,745,2024-05-16 00:00:00+00:00,2026-06-04 00:00:00+00:00,749,6
United States of America,Washington Harbor,733,2024-05-31 00:00:00+00:00,2026-06-15 00:00:00+00:00,745,19
Maldives,Dhidhdhoo,720,2024-06-20 00:00:00+00:00,2026-06-16 00:00:00+00:00,726,7
Iran,Chi Chi Khvar,715,2024-05-16 00:00:00+00:00,2026-06-16 00:00:00+00:00,761,48
